Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,Annual Return,Daily Volatility
2020-01-02,13233.7099609375,13425.0302734375,13225.16015625,13385.9296875,13385.9296875,75341400,,0.08263183871266166,
2020-01-03,13266.3896484375,13282.740234375,13120.7197265625,13219.1396484375,13219.1396484375,80793400,-0.012460101237365073,0.08263183871266166,
2020-01-06,13085.490234375,13143.1103515625,12948.169921875,13126.990234375,13126.990234375,71778600,-0.006970908585067548,0.08263183871266166,
2020-01-07,13199.58984375,13283.8798828125,13166.400390625,13226.830078125,13226.830078125,78282300,0.007605691934511771,0.08263183871266166,
2020-01-08,13140.490234375,13334.0400390625,13106.26953125,13320.1796875,13320.1796875,88178800,0.007057594965961256,0.08263183871266166,
2020-01-09,13474.759765625,13523.33984375,13456.7802734375,13495.0595703125,13495.0595703125,86965600,0.013128943221134781,0.08263183871266166,
2020-01-10,13533.4599609375,13548.2001953125,13483.3095703125,13483.3095703125,13483.3095703125,77941000,-0.0008706890057639249,0.08263183871266166,
2020-01-13,13521.8603515625,13529.2099609375,13404.7197265625,13451.51953125,13451.51953125,67208300,-0.002357732639506782,0.08263183871266166,
2020-01-14,13439.2001953125,13487.900390625,13362.2001953125,13456.490234375,13456.490234375,74555400,0.00036952725775352135,0.08263183871266166,
2020-01-15,13444.9501953125,13458.91015625,13388.48046875,13432.2998046875,13432.2998046875,72046400,-0.0017976774973391674,0.08263183871266166,
2020-01-16,13463.4599609375,13492.740234375,13382.98046875,13429.4296875,13429.4296875,39611800,-0.00021367280579143166,0.08263183871266166,
2020-01-17,13513.48046875,13557.7802734375,13497.2998046875,13526.1298828125,13526.1298828125,86342800,0.007200618161954164,0.08263183871266166,
2020-01-20,13503.830078125,13550.830078125,13487.2099609375,13548.9404296875,13548.9404296875,52882400,0.0016864060209849097,0.08263183871266166,
2020-01-21,13456.900390625,13560.6796875,13443.25,13555.8701171875,13555.8701171875,64630900,0.0005114560460253159,0.08263183871266166,
2020-01-22,13601.650390625,13640.0595703125,13498.0302734375,13515.75,13515.75,73130700,-0.0029596120972442685,0.08263183871266166,
2020-01-23,13455.900390625,13486.1396484375,13382.23046875,13388.419921875,13388.419921875,90749900,-0.009420866627823044,0.08263183871266166,
2020-01-24,13512.83984375,13604.849609375,13510.7900390625,13576.6796875,13576.6796875,87986400,0.014061387880238696,0.08263183871266166,
